title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
MS24586-155,MS24586-155,MS24586155,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,4.25,4.25,107.95,10.795,REF,Reference,Reference,Reference,7.21,7.21,1.263,12.63,0.1288,1.288,128.8,1288,0.721,0.721,0.1263,1.263,0.01288,0.1288,12.88,128.8,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,67,67,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,6.47,6.47,164.34,16.434,3.74,3.74,95,9.5,Factory Option,None,0.04684,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-156,MS24586-156,MS24586156,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,4.5,4.5,114.3,11.43,REF,Reference,Reference,Reference,6.76,6.76,1.184,11.84,0.1207,1.207,120.7,1207,0.676,0.676,0.1184,1.184,0.01207,0.1207,12.07,120.7,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,71.5,71.5,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,6.81,6.81,172.97,17.297,3.988,3.988,101.3,10.13,Factory Option,None,0.0499,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-157,MS24586-157,MS24586157,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.25,1.25,31.75,3.175,REF,Reference,Reference,Reference,2.85,2.85,0.499,4.99,0.0509,0.509,50.9,509,0.285,0.285,0.0499,0.499,0.00509,0.0509,5.09,50.9,0.426,0.426,10.82,1.082,REF,Reference,Reference,Reference,10,10,0.037,0.037,0.94,0.094,Machine Loops,0.4,0.4,1.779,0.1814,181.4,REF,Reference,Reference,Reference,Reference,4.4,4.4,19.572,1.9958,1995.8,2.65,2.65,67.31,6.731,0.407,0.407,10.34,1.034,Factory Option,None,0.0056,0.426,0.426,10.82,1.082,Inline,0.018,0.018,0.46,0.046
MS24586-158,MS24586-158,MS24586158,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.375,1.375,34.93,3.493,REF,Reference,Reference,Reference,2.19,2.19,0.384,3.84,0.0391,0.391,39.1,391,0.219,0.219,0.0384,0.384,0.00391,0.0391,3.91,39.1,0.426,0.426,10.82,1.082,REF,Reference,Reference,Reference,13,13,0.037,0.037,0.94,0.094,Machine Loops,0.4,0.4,1.779,0.1814,181.4,REF,Reference,Reference,Reference,Reference,4.4,4.4,19.572,1.9958,1995.8,3.2,3.2,81.28,8.128,0.518,0.518,13.16,1.316,Factory Option,None,0.007,0.426,0.426,10.82,1.082,Inline,0.018,0.018,0.46,0.046
MS24586-159,MS24586-159,MS24586159,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.5,1.5,38.1,3.81,REF,Reference,Reference,Reference,1.73,1.73,0.303,3.03,0.0309,0.309,30.9,309,0.173,0.173,0.0303,0.303,0.00309,0.0309,3.09,30.9,0.426,0.426,10.82,1.082,REF,Reference,Reference,Reference,16.5,16.5,0.037,0.037,0.94,0.094,Machine Loops,0.4,0.4,1.779,0.1814,181.4,REF,Reference,Reference,Reference,Reference,4.4,4.4,19.572,1.9958,1995.8,3.81,3.81,96.77,9.677,0.648,0.648,16.46,1.646,Factory Option,None,0.00863,0.426,0.426,10.82,1.082,Inline,0.018,0.018,0.46,0.046
MS24586-16,MS24586-16,MS2458616,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.12,0.12,3.05,0.305,0.005,0.005,0.13,0.013,1.125,1.125,28.58,2.858,REF,Reference,Reference,Reference,5.24,5.24,0.918,9.18,0.0936,0.936,93.6,936,0.524,0.524,0.0918,0.918,0.00936,0.0936,9.36,93.6,0.08,0.08,2.03,0.203,REF,Reference,Reference,Reference,47,47,0.02,0.02,0.51,0.094,Machine Loops,0.3,0.3,1.334,0.1361,136.1,REF,Reference,Reference,Reference,Reference,3,3,13.345,1.3608,1360.8,1.64,1.64,41.66,4.166,0.96,0.96,24.38,2.438,Factory Option,None,0.00144,0.08,0.08,2.03,0.203,Inline,0.015,0.015,0.38,0.038
MS24586-160,MS24586-160,MS24586160,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.625,1.625,41.28,4.128,REF,Reference,Reference,Reference,1.43,1.43,0.25,2.5,0.0255,0.255,25.5,255,0.143,0.143,0.025,0.25,0.00255,0.0255,2.55,25.5,0.426,0.426,10.82,1.082,REF,Reference,Reference,Reference,20,20,0.037,0.037,0.94,0.094,Machine Loops,0.4,0.4,1.779,0.1814,181.4,REF,Reference,Reference,Reference,Reference,4.4,4.4,19.572,1.9958,1995.8,4.43,4.43,112.52,11.252,0.777,0.777,19.74,1.974,Factory Option,None,0.01026,0.426,0.426,10.82,1.082,Inline,0.018,0.018,0.46,0.046
MS24586-161,MS24586-161,MS24586161,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.75,1.75,44.45,4.445,REF,Reference,Reference,Reference,1.24,1.24,0.217,2.17,0.0221,0.221,22.1,221,0.124,0.124,0.0217,0.217,0.00221,0.0221,2.21,22.1,0.426,0.426,10.82,1.082,REF,Reference,Reference,Reference,23,23,0.037,0.037,0.94,0.094,Machine Loops,0.4,0.4,1.779,0.1814,181.4,REF,Reference,Reference,Reference,Reference,4.4,4.4,19.572,1.9958,1995.8,4.98,4.98,126.49,12.649,0.888,0.888,22.56,2.256,Factory Option,None,0.01166,0.426,0.426,10.82,1.082,Inline,0.018,0.018,0.46,0.046
MS24586-162,MS24586-162,MS24586162,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.25,1.25,31.75,3.175,REF,Reference,Reference,Reference,4.87,4.87,0.853,8.53,0.087,0.87,87,870,0.487,0.487,0.0853,0.853,0.0087,0.087,8.7,87,0.418,0.418,10.62,1.062,REF,Reference,Reference,Reference,9,9,0.041,0.041,1.04,0.104,Machine Loops,0.5,0.5,2.224,0.2268,226.8,REF,Reference,Reference,Reference,Reference,5.8,5.8,25.8,2.6309,2630.9,2.34,2.34,59.44,5.944,0.41,0.41,10.41,1.041,Factory Option,None,0.00625,0.418,0.418,10.62,1.062,Inline,0.02,0.02,0.51,0.051
MS24586-163,MS24586-163,MS24586163,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.5,0.5,12.7,1.27,0.008,0.008,0.2,0.02,1.375,1.375,34.93,3.493,REF,Reference,Reference,Reference,3.66,3.66,0.641,6.41,0.0654,0.654,65.4,654,0.366,0.366,0.0641,0.641,0.00654,0.0654,6.54,65.4,0.418,0.418,10.62,1.062,REF,Reference,Reference,Reference,12,12,0.041,0.041,1.04,0.104,Machine Loops,0.5,0.5,2.224,0.2268,226.8,REF,Reference,Reference,Reference,Reference,5.8,5.8,25.8,2.6309,2630.9,2.83,2.83,71.88,7.188,0.533,0.533,13.54,1.354,Factory Option,None,0.00795,0.418,0.418,10.62,1.062,Inline,0.02,0.02,0.51,0.051
